# 驱逐简码明细（1525 行 / 1701 字）：编码<Tab>被逐简码字<Tab>驱逐后该行内容
euk	脱	毰 䏽
ev	腿	妥 肗 肍 貇
evg	腱	貄
ew	股 臉	臾 肌
ewg	臉	䑕
ewy	䐪	㲝 脽 䏎
ex	脂 奚	胟
exx	䏶	肶 豼
ey	臃	肪
eyx	臃	胘
fa	域 戴	卋 㦮 𢦏 卉
faf	霸	㘽 㦳 㔺 䨣
faq	墆	㦲
faw	塔	垬
fb	圾	地 坡 邯 邗 壭 凷
fbs	䨯	垜
fcv	攳	刧
fd	城 需	雼 坧
fdh	坯	坏
fdm	需	頇
fdw	堪	㙋
fe	霓 協	雮 㘪 㔹 㘦
ff	封	寺 圭 亖 雸 坩
ffh	填	埴 卦
ffj	䨪	刲 㘫 䨍 䖯
fgh	士	十 雫 圷
fh	起	直 㱏 址 圵 走 圤
fhd	霏	䞠
fhe	趄	赲
fhq	趨	䨘 趛 垷 䙿
fi	霪	示
fis	䨵	霂
fj	朝	刊 刌 亓 龺 井
fjl	墁	塭
fjw	翰	倝
fjy	㣋	丼
fk	彭	吉 圳
fku	喜	壴
fl	塄	雷 㿻
flm	皾	賣
fm	南	圸 垻
fmd	堓	雵 坱
fmw	埛	㘨
fn	逺	志 㐊 㐋 䨒 圯 圮 圠 忈 亐
fna	魗	垊
fnw	聲	块
fo	郝	赤 灻 㶣
foj	㙻	赨
foo	赯	埮
fp	索 勃	辻 迀
fpb	勃	孛
fpf	垸	垨
fpq	埦	売
fpw	埪	坈 坹
fpx	索	壱 坨
fqa	坻	坁
fqc	兘	㘬
fqq	靎	垑
fqr	䨚	圽
fr	垢 坂	坵 圻
fsj	耦	埬 墰 㽑
ft	都	才 耂 坆 攼
ftd	嫠	甛 垁
ftf	霆	圲
fth	埏	垍
ftn	埠	垖 圪
fu	增 境	雴 垃 垟 垶
fua	壌	垪
fuj	境	堷 墹 墇
fwc	塕	坄
fwf	逵	坴 坿
fwt	堸	夌
fwx	墢	鼀
fx	坳	坶
fxx	㙄	㘩
fy	坑	坊 霅 圡 雱 雯
fyb	墩	埻
fyv	㙟	埌
ga	型 形	玒 弄
gb	屯 頓	珥 㺭 邞 玻
gc	到 致	丟 㺨
gdf	郉	幵
gdh	珔	玤
geb	䝕	琈 郬
gec	䝌	豝
gee	豯	瑫 㻚
geg	瑗	珇
gev	䝓	豤
gey	豴	豖
gf	玩	于 玵 玕
gfn	璹	㺮
gft	琽	㪀
gg	五 球	玨 玞 㚘
ggm	鄼	賛
ggw	琴	珡
ggx	琵	瑇
ghh	䢥	㻉
ghq	璨	現 規
giy	救	求
gj	理 更	㺫 丌
gjh	惠	瑁 珅
gjl	㻴	瑥
gjy	璟	琝
gk	事 逼	吾 玔 卅
