# 词序重排明细（2026-09-15）：按 rime-essay 单字有效字频（繁取自身与简体之大者）重排重码行，排除一级简码 25 行与字根行 4 行；共改动 1307 行。格式: 编码<Tab>原序<Tab>新序
dc	友 夿 厷 厺 㕝	友 厷 夿 厺 㕝
dcor	礟 礮	礮 礟
dd	套 㕆 砳 厌 㚐 夶 㹜	套 夶 砳 㕆 厌 㚐 㹜
de	有 長 胡 夯 砽 髟 劯	有 長 胡 夯 髟 劯 砽
deb	郁 髢 髶 䯮 髲	郁 髢 髲 髶 䯮
dede	鬌 鬍	鬍 鬌
dee	髦 奟 硼	硼 髦 奟
deg	㚗 砠	砠 㚗
deqo	磶 鶘 鶦 㕐 䯼 䳑	鶘 鶦 磶 㕐 䯼 䳑
df	圧 圶 夳 矸 夲 厈	夲 圧 矸 夳 厈 圶
dfc	夽 砝	砝 夽
dff	奎 厓 硅	奎 硅 厓
dfhw	厧 磌	磌 厧
dgny	瓳 瓺 砙	瓺 瓳 砙
dgqt	厫 磝 䦋	磝 厫 䦋
dh	砋 不 丰	不 丰 砋
dhdj	剨 奡	奡 剨
dhvi	洯 絜	絜 洯
dj	百 矵 夰	百 夰 矵
djev	嬮 饜	饜 嬮
dl	䦉 硨 厙 㕅	厙 硨 䦉 㕅
dm	冇 㞭 頁	頁 冇 㞭
dn	成 乭 䎁 怘 尢	成 尢 怘 乭 䎁
dq	克 㕋 碒 矽	克 矽 碒 㕋
dqe	确 勊 勀 兞	确 勀 勊 兞
dqo	鳫 鴣 䂹 䃖 䲪 䲽	鴣 鳫 䂹 䃖 䲪 䲽
dr	砶 䂡 斫	斫 砶 䂡
dss	㚞 碄	碄 㚞
dssh	歴 礎	礎 歴
dta	矺 厇	厇 矺
dtg	䂫 㸴 镻	镻 䂫 㸴
du	辜 㕇 砬 羍 厗 冭	辜 砬 冭 厗 羍 㕇
dued	礲 龎	龎 礲
dwj	春 㫷 剘 砎 蜝	春 剘 砎 蜝 㫷
dwn	甚 㐞 䦇 惎 㤗	甚 惎 㐞 䦇 㤗
dwwm	贋 頰	頰 贋
dwy	㕍 奞 諅 碓 䧸	碓 諅 奞 㕍 䧸
dx	䂗 㔫 砪	砪 䂗 㔫
dy	太 䂴 丈 砇	太 丈 砇 䂴
dynw	奒 硋	硋 奒
eb	㲌 孚 䏪 肔 䏢 䝛	孚 肔 㲌 䏪 䏢 䝛
edh	脜 肨 肧	脜 肧 肨
ee	朋 毝 舀 㲎 肋 肜	朋 肋 舀 肜 毝 㲎
eee	毳 劦	劦 毳
eeee	月 朤 脅 脇 膬	月 脅 朤 脇 膬
eeq	腉 貎	貎 腉
ef	肚 肝 豻 寽 肘	肝 肚 肘 寽 豻
ege	助 腈 豚 脿	助 豚 腈 脿
egnw	歟 與	與 歟
eh	丯 辵	辵 丯
ej	㸓 刖	刖 㸓
ejf	貍 䤚 貋 䏷	貍 貋 䤚 䏷
en	㐍 劜 肊 甩	甩 劜 肊 㐍
enhc	腵 貑	貑 腵
enud	鼷 鼣 鼫 鼳 鼵	鼷 鼫 鼵 鼳 鼣
enuk	鼯 鼦 鼩 䶅	鼯 鼩 鼦 䶅
enuv	鼢 鼴	鼴 鼢
enuw	鼶 鼸	鼸 鼶
eo	毩 䊆 脒	脒 毩 䊆
er	胉 貃 肵 䏗	肵 胉 貃 䏗
erro	燢 鱟 鷽 䮸	鱟 鷽 燢 䮸
es	采 毢 脯 䝗	采 脯 毢 䝗
esk	胢 脨	脨 胢
etg	胜 胮 脌 胅	胜 胮 胅 脌
etgf	腁 腫	腫 腁
etk	胳 貉	貉 胳
etn	䏨 肐	肐 䏨
etnb	爳 鄬	鄬 爳
eu	䏠 羘	羘 䏠
eugo	騰 鰧 黱	騰 黱 鰧
ev	妥 肗 肍 貇	妥 貇 肍 肗
evgp	毽 腱	腱 毽
evy	肒 肕	肕 肒
ew	臾 肌	肌 臾
ewgj	腧 毺 膾 貐	膾 腧 貐 毺
ewy	㲝 脽 䏎	脽 㲝 䏎
ewyn	肣 腍 臇 㲐	腍 肣 臇 㲐
eyb	朜 脝	脝 朜
fa	卋 㦮 𢦏 卉	卉 卋 㦮 𢦏
faj	㫩 蛓	蛓 㫩
famw	墴 歕 胾	胾 歕 墴
fawn	塂 塨	塨 塂
fb	地 坡 邯 邗 壭 凷	地 坡 邯 邗 凷 壭
fc	支 云 去	去 支 云
fce	攰 埇 劫 㲍	劫 攰 埇 㲍
fcnt	雺 霚	霚 雺
fdth	壢 靂	靂 壢
feb	䨗 垺	垺 䨗
fee	堋 䨜 塪	堋 塪 䨜
ff	寺 圭 亖 雸 坩	寺 圭 坩 亖 雸
ffff	土 堼 鞤 㙓	土 鞤 堼 㙓
fffh	幇 幫	幫 幇
ffh	埴 卦	卦 埴
ffn	雩 圬 恚	恚 雩 圬
ffq	䨌 坃	坃 䨌
fge	䨝 埥 㙇	埥 䨝 㙇
fh	直 㱏 址 圵 走 圤	走 直 址 圵 圤 㱏
